"OBJECTID","Loc_name","Status","Score","Match_type","Match_addr","Side","X","Y","Addr_type","ARC_Street","ARC_City","ARC_ZIP","FAC_NUMBER","FACIL_NAME","ADDRESS","CITY","ZIP","UTILIZE","OWN_LEASE","LOCATION","GRSF_LUSF","LEASE_RNSF","ROOF_GSF","YEAR_BUILT","LEASE_EXP","WORKSPACE","COMM_DIST","SITE_ACRE"
30,"HC_POINTS_ADD","M",100,"A","8600 ZANE AVENUE NORTH, BROOKLYN PARK, 55443","",472021.0568,4995346.067,"Address","8600 Zane Avenue North","Brooklyn Park",55443,75,"Brooklyn Park Library","8600 Zane Avenue North","Brooklyn Park",55443,"Library","Owned","Community",15183,NA,15183,1976,"",3,"Opat",4.484
32,"HC_POINTS_ADD","M",100,"A","565 PRAIRIE CENTER DRIVE, EDEN PRAIRIE, 55344","",466191.2096,4966410.161,"Address","565 Prairie Center Drive","Eden Prairie",55344,77,"Eden Prairie Library","565 Prairie Center Drive","Eden Prairie",55344,"Library","Owned","Community",53620,NA,53620,1985,"",29,"Callison",4.398
34,"HC_POINTS_ADD","M",100,"A","5280 GRANDVIEW SQUARE, EDINA, 55436","",471899.7875,4972782.52,"Address","5280 Grandview Square","Edina",55436,78,"Edina Library","5280 Grandview Square","Edina",55436,"Library","Owned","Community",18052,NA,18052,2002,"",3,"Callison",NA
35,"HC_POINTS_ADD","M",100,"A","12154 ENSIGN AVENUE NORTH, CHAMPLIN, 55316","",469028.2108,5002434.103,"Address","12154 Ensign Avenue North","Champlin",55316,76,"Champlin Library","12154 Ensign Avenue North","Champlin",55316,"Library","Owned","Community",8966,NA,8966,1972,"",5,"J. Johnson",1.506
36,"HC_POINTS_ADD","M",100,"A","8801 PORTLAND AVENUE SOUTH, BLOOMINGTON, 55420","",478900.337,4965669.153,"Address","8801 Portland Avenue South","Bloomington",55420,82,"Oxboro Library","8801 Portland Avenue South","Bloomington",55420,"Library","Owned","Community",13768,NA,13768,1973,"",4,"R. Johnson",2.674
37,"HC_POINTS_ADD","M",100,"A","22 11TH AVENUE NORTH, HOPKINS, 55343","",467308.7324,4974776.315,"Address","22 11th Avenue North","Hopkins",55343,80,"Hopkins Library","22 11th Avenue North","Hopkins",55343,"Library","Owned","Community",12476,NA,12476,1967,"",5,"Callison",0.856
38,"HC_POINTS_ADD","M",97,"A","830 WINNETKA AVENUE NORTH, GOLDEN VALLEY, 55427","",470090.4853,4981722.62,"Address","830 Winnetka Avenue North","Golden Valley",55427,79,"Golden Valley Library","830 Winnetka Avenue North","Golden Valley",55427,"Library","Owned","Community",15455,NA,15455,1971,"",2,"Higgins",2.973
39,"HC_POINTS_ADD","M",100,"A","5184 MAIN STREET EAST, MAPLE PLAIN, 55359","",448347.9215,4984021.532,"Address","5184 Main Street East","Maple Plain",55359,81,"Maple Plain Library","5184 Main Street East","Maple Plain",55359,"Library","Owned","Community",5483,NA,5483,1976,"",NA,"J. Johnson",0.24
43,"HC_POINTS_ADD","M",100,"A","8001 MAIN STREET NORTH, MAPLE GROVE, 55369","",465316.4724,4994397.758,"Address","8001 Main Street N","Maple Grove",55369,90,"Maple Grove Library","8001 Main Street N","Maple Grove",55369,"Library","Owned","Community",40034,NA,40034,1988,"",14,"J. Johnson",2.089
44,"HC_POINTS_ADD","M",100,"A","8800 PENN AVENUE SOUTH, BLOOMINGTON, 55431","",475541.0099,4965647.284,"Address","8800 Penn Avenue South","Bloomington",55431,83,"Penn Lake Library","8800 Penn Avenue South","Bloomington",55431,"Library","Owned","Community",14909,NA,14909,1969,"",5,"R. Johnson",2.128
