,,,,,,,,,,
Name,Address,City,State,Country,Zip,Phone,Website,How To Rent:,Body,Email
Arlington Hills Community Center,665 Rose Ave E.,Saint Paul,MN,US,55119,(651) 632-3861,http://arlingtonhillscc.com/,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>",,
Battle Creek Recreation Center,75 Winthrop St. S.,Saint Paul,MN,US,55119,(651) 501-6347,https://www.stpaul.gov/battle-creek-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday: 9:00 a.m. - 9:00 p.m.
Friday: 9:00 a.m. - 6:00 p.m.
Saturday: 9 a.m. - 4:00 p.m.
Sunday: 12 p.m. - 4 p.m.

Indoor Amenities:
Craft/Meeting Room (Small)
Fitness Center
Kitchen
Gym (Large)
Gym/Multipurpose Room (Small)
Meeting Room (can divide in two)
Warming Room",dan.aliperto@ci.stpaul.mn.us
Dayton's Bluff Recreation Center,800 Conway St.,Saint Paul,MN,US,55106,(651) 793-3885,https://www.stpaul.gov/daytons-bluff-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday:  3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed

Indoor Amenities:
Auditorium/Theater
Craft Room (Small)
Dance Studio
Fitness Center
Game Room
Gym (Large)
Kitchen
(2) Meeting Rooms (Large & Small)",Michelle.Freeman@ci.stpaul.mn.us
Duluth and Case Recreation Center,1020 Duluth St.,Saint Paul,MN,US,55106,(651) 298-5709,https://www.stpaul.gov/duluth-and-case-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday:  3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed

Indoor Amenities:
Gym (Small)
Kitchen
Multipurpose Room",Kong.Chang@ci.stpaul.mn.us
Edgcumbe Recreation Center,320 Griggs St. S.,Saint Paul,MN,US,55105,(651) 695-3711,https://www.stpaul.gov/edgcumbe-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday: 9am - 8pm
Friday: 9am - 6pm
Saturday: 9am - 4pm
Sunday: Closed

Indoor Amenities:
Craft Room (Small)
Game Room
Gym (Medium)
Fitness Center
Kitchen
Multipurpose/Meeting Room
(2) Racquetball/Walleyball Courts
Warming Room",https://www.stpaul.gov/Jessica.Harkcom@ci.stpaul.mn.us
El Rio Vista Recreation Center,179 Robie St. E.,Saint Paul,MN,US,55107,(651) 789-3692,https://www.stpaul.gov/el-rio-vista-recreation-center-wellstone-community-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday:  3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed

Indoor Amenities:
(2) Computer Labs
Dance Studio
Fitness Center
(2) Gyms (Large)
Meeting Room (Small)
Lounge Room (Small)
Locker Rooms
Teaching Kitchen
Walking Track",will.xiong@ci.stpaul.mn.us
Groveland Recreation Center,2059 St. Clair Ave.,Saint Paul,MN,US,55105,(651) 695-3714,https://www.stpaul.gov/groveland-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday–Thursday: 3pm–9pm
Friday: 3pm–6pm
Saturday/Sunday: Closed  Indoor Amenities:
Craft Room
Kitchen
Medium Gym
Warming House",Laura.Winge@ci.stpaul.mn.us
Hancock Recreation Center,1610 Hubbard Ave.,Saint Paul,MN,US,55104,(651) 298-4393,https://www.stpaul.gov/hancock-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday:  3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed

Indoor Amenities:
Craft Room
Gym (Medium)
Kitchen
Lounge Room
Multipurpose Room
Performing Arts Room
'The Canvas' Teen Center",liz.lassiter@ci.stpaul.mn.us
Hayden Heights Recreation Center,1965 Hoyt Ave. E.,Saint Paul,MN,US,55119,(651) 298-5716,https://www.stpaul.gov/hayden-heights-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday:  3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed  Indoor Amenities:
Craft Room
Game Room
Gym (Medium)
Kitchen
Meeting Room
Warming Room",peter.felion@ci.stpaul.mn.us
Hazel Park Recreation Center,945 Hazel St N.,Saint Paul,MN,US,55119,(651) 501-6350,https://www.stpaul.gov/hazel-park-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday:  3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed

Indoor Amenities:
Craft Room
Game/Teen Room
Gym (Medium)
Kitchen
Meeting Room",Jamie.Anderson@ci.stpaul.mn.us
Highland Park Community Center,1978 Ford Pkwy.,Saint Paul,MN,US,55116,(651) 695-3706,https://www.stpaul.gov/highland-park-community-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday: 9:00 a.m. - 9:00 p.m.
Friday: 9:00 a.m. - 5:30 p.m.
Saturday: 10:00 a.m. - 5:30 p.m.
Sunday: 1:00 p.m. -5:00 p.m.

Indoor Amenities:
Auditorium
Computer Workstations
Craft Room
Fitness Center
Gym
Indoor Walking Track
Kitchen
Library
(5) Meeting Rooms
Story Time Room
(5) Study Rooms
Teen Center
Warming Room",Amanda.Smith@ci.stpaul.mn.us
Jimmy Lee/Oxford Community Center,270 Lexington Pkwy N.,Saint Paul,MN,US,55104,(651) 642-0650,https://www.stpaul.gov/departments/parks-recreation/oxford-community-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday–Friday: 6:30am–9:00pm
Saturday: 7:00am–7:00pm
Sunday: 11:00am–5:00pm

Indoor Amenities

Craft Room
Computer Lab
Dance Studio
Fitness Center
(4) Gymnasiums
Multipurpose Room
Teaching Kitchen
Walking Track
Great River Water Park",Jonell.Lofton@ci.stpaul.mn.us
Langford Recreation Center,30 Langford Park,Saint Paul,MN,US,55108,(651) 298-5765,https://www.stpaul.gov/langford-park-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday–Thursday: 3pm–9pm
Friday: 3pm–6pm
Saturday: 12pm-9pm
Sunday: 12pm-8pm

Indoor Amenities:
Game Room
Gym (Medium)
Kitchen
Meeting Room",Scott.Walsh@ci.stpaul.mn.us
Linwood Recreation Center,860 St. Clair Ave.,Saint Paul,MN,US,55105,(651) 298-5660,https://www.stpaul.gov/linwood-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday: 7 a.m.-9 p.m.
Tuesday: 6 a.m.-9 p.m.
Wednesday: 7 a.m.-9 p.m.
Thursday: 6 a.m.-9 p.m.
Friday: 7 a.m.-6 p.m.
Saturday: 9 a.m.-1 p.m.
Sunday: Closed

Indoor Amenities:
Craft Room (Small)
Dance Studio
Fitness Center
Gym (Large)
Meeting Room (Large)
Senior Lounge
Warming Room", brian.tobritzhofer@ci.stpaul.mn.us
Martin Luther King Recreation Center,270 Kent St.,Saint Paul,MN,US,55102,(651) 290-8695,https://www.stpaul.gov/martin-luther-king-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday:  3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed

Indoor Amenities:
Craft Room
Dance Studio
Fitness Center
Game Room
Gym (Large)
(2) Meeting Rooms
Multipurpose Room",ashley.dubay@ci.stpaul.mn.us
McDonough Recreation Center,1554 Timberlake Rd.,Saint Paul,MN,US,55117,(651) 558-2171,https://www.stpaul.gov/mcdonough-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday: 3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed

Indoor Amenities:
Craft Room
Kitchen
(2) Gyms (1 Large, 1 Small)",Yer.Chang@ci.stpaul.mn.us
Merriam Park Recreation Center,2000 St. Anthony Ave.,Saint Paul,MN,US,55104,(651) 298-5766,https://www.stpaul.gov/merriam-park-recreation-center,"<a href=“https://www.stpaul.gov/DocumentCenter/View/63821"">Recreation Center Facility Rental Prices</a><br><a href=“https://www.stpaul.gov/DocumentCenter/View/63822”>Rental Terms and Condition​</a>","Monday - Thursday:  3pm - 9pm
Friday: 3pm - 6pm
Saturday & Sunday: Closed

Indoor Amenities:
Craft Room/Multipurpose Room (Small)
Gym
Meeting Room (Large)",Danielle.Fleming@ci.stpaul.mn.us
