"location","location_url","phone","street","city","zipcode","address_url","Mon","Tue","Wed","Thu","Fri","Sat","Sun","lat","lon"
"Augsburg Park Library","http://www.hclib.org/about/locations/augsburg-park","612-543-6200","7100 Nicollet Ave.","Richfield",55423,"https://www.google.com/maps/place/Augsburg+Park+Library/@44.873975,-93.278817,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x471e4795be141c7c","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.873975,-93.278817
"Brookdale Library","http://www.hclib.org/about/locations/brookdale","612-543-5600","6125 Shingle Creek Pkwy.","Brooklyn Center",55430,"https://www.google.com/maps/place/Brookdale+Library/@45.065871,-93.310626,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x473a120d887093cd","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",45.065871,-93.310626
"Brooklyn Park Library","http://www.hclib.org/about/locations/brooklyn-park","612-543-6225","8600 Zane Ave. N.","Brooklyn Park",55443,"https://www.google.com/maps/place/Brooklyn+Park+Library/@45.111031,-93.355819,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x6ecaa0d27bc8239d","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",45.111031,-93.355819
"Champlin Library","http://www.hclib.org/about/locations/champlin","612-543-6250","12154 Ensign Ave. N.","Champlin",55316,"https://www.google.com/maps/place/Champlin+Library/@45.174871,-93.394151,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xc1f73b57800a2db9","9 - 5","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","—",45.174871,-93.394151
"East Lake Library","http://www.hclib.org/about/locations/east-lake","612-543-8425","2727 E. Lake St.","Minneapolis",55406,"https://www.google.com/maps/place/East+Lake+Library/@44.947935,-93.231982,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xf42ac337ccefaad6","9 - 8","9 - 8","9 - 5","9 - 8","9 - 5","9 - 5","12 - 5",44.947935,-93.231982
"Eden Prairie Library","http://www.hclib.org/about/locations/eden-prairie","612-543-6275","565 Prairie Center Dr.","Eden Prairie",55344,"https://www.google.com/maps/place/Eden+Prairie+Library/@44.850413,-93.427876,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x4ddade28146b6607","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",44.850413,-93.427876
"Edina Library","http://www.hclib.org/about/locations/edina","612-543-6325","5280 Grandview Square","Edina",55436,"https://www.google.com/maps/place/Edina+Library/@44.908081,-93.356102,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x7aa9dbc4734764ec","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.908081,-93.356102
"Excelsior Library","http://www.hclib.org/about/locations/excelsior","612-543-6350","337 Water St.","Excelsior",55331,"https://www.google.com/maps/place/Excelsior+Library/@44.902719,-93.567992,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x1bb9ef3c6a24b14a","9 - 5","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","—",44.902719,-93.567992
"Franklin Library","http://www.hclib.org/about/locations/franklin","612-543-6925","1314 E. Franklin Ave.","Minneapolis",55404,"https://www.google.com/maps/place/Franklin+Library/@44.962984,-93.255847,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x380f3d6becbe4698","9 - 5","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","12 - 5",44.962984,-93.255847
"Golden Valley Library","http://www.hclib.org/about/locations/golden-valley","612-543-6375","830 Winnetka Ave. N.","Golden Valley",55427,"https://www.google.com/maps/place/Golden+Valley+Library/@44.988204,-93.379358,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x1bd2c25fc5490bb3","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.988204,-93.379358
"Hopkins Library","http://www.hclib.org/about/locations/hopkins","612-543-6400","22 11th Ave. N.","Hopkins",55343,"https://www.google.com/maps/place/Hopkins+Library/@44.925582,-93.414097,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x1ef03c0fd5417bf7","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.925582,-93.414097
"Hosmer Library","http://www.hclib.org/about/locations/hosmer","612-543-6900","347 E. 36th St.","Minneapolis",55408,"https://www.google.com/maps/place/Hosmer+Library/@44.937507,-93.270579,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x9c1e2d6324e2d2ec","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.937507,-93.270579
"Linden Hills Library","http://www.hclib.org/about/locations/linden-hills","612-543-6825","2900 W. 43rd St.","Minneapolis",55410,"https://www.google.com/maps/place/Linden+Hills+Library/@44.925029,-93.316511,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x70cef46aa60e69b0","9 - 5","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","—",44.925029,-93.316511
"Long Lake Library","http://www.hclib.org/about/locations/long-lake","612-543-6425","1865 Wayzata Blvd. W.","Long Lake",55356,"https://www.google.com/maps/place/Long+Lake+Library/@44.985628,-93.572292,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb368da0bbc686c50","12 - 8","—","9 - 5","—","9 - 5","—","—",44.985628,-93.572292
"Maple Grove Library","http://www.hclib.org/about/locations/maple-grove","612-543-6450","8001 Main St. N.","Maple Grove",55369,"https://www.google.com/maps/place/Maple+Grove+Library/@45.101962,-93.441235,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x21ad95eb874ac497","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",45.101962,-93.441235
"Maple Plain Library","http://www.hclib.org/about/locations/maple-plain","612-543-5700","5184 Main St. E.","Maple Plain",55359,"https://www.google.com/maps/place/Maple+Plain+Library/@45.007768,-93.655487,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x73ca48a038c6bff2","—","12 - 8","—","9 - 5","—","9 - 5","—",45.007768,-93.655487
"Minneapolis Central Library","http://www.hclib.org/about/locations/minneapolis-central","612-543-8000","300 Nicollet Mall","Minneapolis",55401,"https://www.google.com/maps/place/Minneapolis+Central+Library/@44.980502,-93.270019,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x78ec6689fd0eb0d8?hl=en","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",44.980502,-93.270019
