"name","address","city","state","zip","country","hours","google_url","phone","website","place_id"
"Saint Anthony Park Library","2245 Como Ave","St Paul","MN",55108,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 11:30 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=11673257538635856129","651-642-0411","http://www.sppl.org/about/locations/saint-anthony-park","ChIJ5WMuAZEss1IRAXkKQuK9_6E"
"Natural Resources Library","1980 Folwell Ave","Falcon Heights","MN",55108,"US","","https://maps.google.com/?cid=13756809871413187799","612-624-9288","https://www.lib.umn.edu/naturalresources","ChIJrRW_14Iss1IR15Qr_LAB6r4"
"John R. Borchert Map Library","309 19th Ave S","Minneapolis","MN",55455,"US","<ul><li>Monday: 9:00 AM – 7:00 PM</li><li>Tuesday: 9:00 AM – 7:00 PM</li><li>Wednesday: 9:00 AM – 7:00 PM</li><li>Thursday: 9:00 AM – 7:00 PM</li><li>Friday: 9:00 AM – 7:00 PM</li><li>Saturday: 1:00 – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=17794906707799565617","612-624-4549","http://map.lib.umn.edu/","ChIJS_44o0Ets1IRMeWbiV419PY"
"Hayden Heights Library","1456 White Bear Ave","St Paul","MN",55106,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 11:30 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=2258171381224214683","651-793-3934","http://www.sppl.org/about/locations/hayden-heights","ChIJHfqleZzUslIRm5DSK-iiVh8"
"Scott County Law Library","200 4th Ave W","Shakopee","MN",55379,"US","<ul><li>Monday: 8:00 AM – 4:30 PM</li><li>Tuesday: 8:00 AM – 4:30 PM</li><li>Wednesday: 8:00 AM – 4:30 PM</li><li>Thursday: 8:00 AM – 4:30 PM</li><li>Friday: 8:00 AM – 4:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=15046846704156631175","952-496-8713","http://www.scottlib.org/","ChIJ01HYw50Q9ocRh2ADF1sj0dA"
"Debra S Fish Early Childhood","10 Yorkton Ct","St Paul","MN",55117,"US","<ul><li>Monday: 8:30 AM – 5:00 PM</li><li>Tuesday: 8:30 AM – 5:00 PM</li><li>Wednesday: 8:30 AM – 5:00 PM</li><li>Thursday: 8:30 AM – 5:00 PM</li><li>Friday: 8:30 AM – 5:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=7728902283708045317","651-641-3544","http://www.thinksmall.org/for_early_childhood_professionals/debra_s_fish_library","ChIJFYI-OvzVslIRBZgfdK2TQms"
"Osceola Public Library","102 Chieftain St","Osceola","WI",54020,"US","","https://maps.google.com/?cid=6712995425685833160","715-294-2310","http://www.osceolapubliclibrary.org/","ChIJJ3LcGuiWslIRyIXTzsVZKV0"
"Mathematics Library","206 Church St SE","Minneapolis","MN",55455,"US","","https://maps.google.com/?cid=17496080662757530986","612-624-6075","http://math.lib.umn.edu/","ChIJte0l9xYts1IRal0-IaqQzvI"
"Newport Public Library","405 7th Ave","Newport","MN",55055,"US","<ul><li>Monday: 4:00 – 8:00 PM</li><li>Tuesday: 1:00 – 8:00 PM</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: 3:00 – 8:00 PM</li><li>Friday: 5:00 – 8:00 PM</li><li>Saturday: 12:00 – 5:00 PM</li><li>Sunday: 11:00 AM – 5:00 PM</li></ul>","https://maps.google.com/?cid=7222237005091729592","651-459-9631","http://www.ci.newport.mn.us/library.php","ChIJ1TFnB23R94cRuHAshEqKOmQ"
"Shakopee Library","235 Lewis St S","Shakopee","MN",55379,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 1:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: 1:00 – 5:00 PM</li><li>Saturday: 10:00 AM – 4:00 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=3981050696513814414","952-233-9590","http://www.scottlib.org/","ChIJiT8A8nUa9ocRjv-GFoSIPzc"
"Physical Sciences & Eng Division","117 Pleasant St SE","Minneapolis","MN",55455,"US","","https://maps.google.com/?cid=1877137129926331611","612-624-0224","","ChIJoaepShQts1IR24z0L0buDBo"
"Video Library Inc","15640 Cornell Trail","Rosemount","MN",55068,"US","","https://maps.google.com/?cid=10799310238086294303","651-423-5623","","ChIJ81brcGM09ocRH2tfwHHb3pU"
"Lindell Library","630 22nd Ave S","Minneapolis","MN",55454,"US","","https://maps.google.com/?cid=6034375792515060525","612-330-1000","http://library.augsburg.edu/","ChIJf_GM3kYts1IRLZMT0s9ovlM"
"Volunteer Braille Services","1710 Douglas Dr N","Golden Valley","MN",55422,"US","","https://maps.google.com/?cid=9115658272925131361","763-544-2880","http://www.vbsmn.org/","ChIJkx2SqGg0s1IRYaKNA-dSgX4"
"Ramsey County Library Administration","4570 Victoria St N","Shoreview","MN",55126,"US","<ul><li>Monday: 10:00 AM – 9:00 PM</li><li>Tuesday: 10:00 AM – 9:00 PM</li><li>Wednesday: 10:00 AM – 9:00 PM</li><li>Thursday: 10:00 AM – 9:00 PM</li><li>Friday: 10:00 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=5124109738099939999","651-486-2200","http://www.rclreads.org/","ChIJITb4W0Yos1IRnxqReah-HEc"
"Holy Trinity Lutheran Church","2730 E 31st St","Minneapolis","MN",55406,"US","<ul><li>Monday: 8:30 AM – 4:00 PM</li><li>Tuesday: 8:30 AM – 4:00 PM</li><li>Wednesday: 8:30 AM – 4:00 PM</li><li>Thursday: 8:30 AM – 4:00 PM</li><li>Friday: 8:30 AM – 3:00 PM</li><li>Saturday: Closed</li><li>Sunday: 8:30 AM – 12:30 PM</li></ul>","https://maps.google.com/?cid=594554089574813548","612-729-8358","http://www.htlcmpls.org/","ChIJR0LSiiQo9ocRbM_cXMtHQAg"
"George Latimer Central Library","90 W 4th St","St Paul","MN",55102,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 9:00 AM – 5:30 PM</li><li>Wednesday: 9:00 AM – 5:30 PM</li><li>Thursday: 9:00 AM – 5:30 PM</li><li>Friday: 9:00 AM – 5:30 PM</li><li>Saturday: 11:30 AM – 5:00 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=2464794017014329848","651-266-7000","http://www.sppl.org/about/locations/central-library","ChIJGScZUUvV94cR-LGldBm1NCI"
"Rondo Community Outreach Library","461 Dale St N","St Paul","MN",55104,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 10:00 AM – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 10:00 AM – 5:30 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=17535349314349717860","651-266-7400","http://www.sppl.org/about/locations/rondo","ChIJ7awyHp0q9ocRZFk0jksTWvM"
"Ramsay Law Firm, PLLC","2780 Snelling Ave N","Roseville","MN",55113,"US","","https://maps.google.com/?cid=15308044890200682969","651-604-0000","http://www.minneapolisdwidefenselawyer.com/","ChIJiSvgZecrs1IR2TEl3rgZcdQ"
"Somerset Public Library","208 Hud St","Somerset","WI",54025,"US","","https://maps.google.com/?cid=6386362539734950094","715-247-5228","http://www.somersetlibrary.org/","ChIJp41TRny6slIRzmDDu-TqoFg"
"Prescott Library","800 Borner St N","Prescott","WI",54021,"US","","https://maps.google.com/?cid=14412292667886118729","715-262-5555","http://prescottpubliclibrary.org/","ChIJJesyrw3C94cRSadRZNK_Asg"
"Rockford Road Library","6401 42nd Ave N","Minneapolis","MN",55427,"US","<ul><li>Monday: 9:00 AM – 8:00 PM</li><li>Tuesday: 9:00 AM – 8:00 PM</li><li>Wednesday: 9:00 AM – 8:00 PM</li><li>Thursday: 9:00 AM – 5:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=8338112391743149726","612-543-5875","http://www.hclib.org/rockfordroad","ChIJCy7WW6Q2s1IRnhYiBwvttnM"
"University of St Thomas - Archbishop Ireland Memorial Library","2260 Summit Ave","St Paul","MN",55105,"US","<ul><li>Monday: 8:00 AM – 10:00 PM</li><li>Tuesday: 8:00 AM – 10:00 PM</li><li>Wednesday: 8:00 AM – 10:00 PM</li><li>Thursday: 8:00 AM – 10:00 PM</li><li>Friday: 8:00 AM – 5:00 PM</li><li>Saturday: 12:00 – 5:00 PM</li><li>Sunday: 12:00 – 10:00 PM</li></ul>","https://maps.google.com/?cid=629919491053103066","651-962-5450","http://www.stthomas.edu/libraries/ireland/","ChIJDQkIPuop9ocR2qdQjXDsvQg"
"Plymouth Library","15700 36th Ave N","Plymouth","MN",55446,"US","<ul><li>Monday: 9:00 AM – 9:00 PM</li><li>Tuesday: 9:00 AM – 9:00 PM</li><li>Wednesday: 9:00 AM – 9:00 PM</li><li>Thursday: 9:00 AM – 9:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=955280622909905352","612-543-5825","http://www.hclib.org/plymouth","ChIJtZF3lGJJs1IRyNlbTarWQQ0"
"Jordan Library","275 Creek Ln S","Jordan","MN",55352,"US","<ul><li>Monday: 1:00 – 8:00 PM</li><li>Tuesday: 10:00 AM – 5:00 PM</li><li>Wednesday: 1:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 5:00 PM</li><li>Friday: Closed</li><li>Saturday: 10:00 AM – 2:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=13834442728730177957","952-496-8050","http://www.scottlib.org/","ChIJQc4vxegM9ocRpbFyH13Q_b8"
"Brookdale Library","6125 Shingle Creek Pkwy","Brooklyn Center","MN",55430,"US","<ul><li>Monday: 9:00 AM – 9:00 PM</li><li>Tuesday: 9:00 AM – 9:00 PM</li><li>Wednesday: 9:00 AM – 9:00 PM</li><li>Thursday: 9:00 AM – 9:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=5132434574675055565","612-543-5600","http://www.hclib.org/brookdale","ChIJ4zPbcVUws1IRzZNwiA0SOkc"
"Webber Park Library","4203 Webber Pkwy","Minneapolis","MN",55412,"US","<ul><li>Monday: Closed</li><li>Tuesday: 12:00 – 8:00 PM</li><li>Wednesday: Closed</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: Closed</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=9747193665386941966","612-543-6750","http://www.hclib.org/webberpark","ChIJxV--RIwxs1IRDo5T7v78RIc"
"River Falls Public Library","140 Union St","River Falls","WI",54022,"US","<ul><li>Monday: 9:00 AM – 8:00 PM</li><li>Tuesday: 9:00 AM – 8:00 PM</li><li>Wednesday: 9:00 AM – 8:00 PM</li><li>Thursday: 9:00 AM – 8:00 PM</li><li>Friday: 9:00 AM – 6:00 PM</li><li>Saturday: 10:00 AM – 4:00 PM</li><li>Sunday: 1:00 – 4:00 PM</li></ul>","https://maps.google.com/?cid=1689696853234873215","715-425-0905","http://www.riverfallspubliclibrary.org/","ChIJu6AlutPk94cRf_Mo61UCcxc"
"Great River Regional Library","11800 Town Center Dr","St Michael","MN",55376,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 6:00 PM</li><li>Wednesday: 10:00 AM – 8:00 PM</li><li>Thursday: 1:00 – 8:00 PM</li><li>Friday: 12:00 – 5:00 PM</li><li>Saturday: 10:00 AM – 1:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=11003918302045717413","763-497-1998","http://www.griver.org/","ChIJ5Svf8wVds1IRpcPa-mTFtZg"
"St Paul Bookmobile Office","461 Dale St N","St Paul","MN",55103,"US","","https://maps.google.com/?cid=5142580606067058924","651-266-7450","http://www.sppl.org/bookmobile","ChIJZXvNH50q9ocR7KhwjdAdXkc"
"Peter Watne Memorial Library","8700 College View Dr","St Bonifacius","MN",55375,"US","<ul><li>Monday: 7:30 AM – 12:00 AM</li><li>Tuesday: 7:30 AM – 12:00 AM</li><li>Wednesday: 7:30 AM – 12:00 AM</li><li>Thursday: 7:30 AM – 12:00 AM</li><li>Friday: 7:30 AM – 5:00 PM</li><li>Saturday: 12:00 – 6:00 PM</li><li>Sunday: 6:00 PM – 12:00 AM</li></ul>","https://maps.google.com/?cid=2274571403731755212","952-446-4241","http://www.crown.edu/library","ChIJW-iUKJ4A9ocRzGCx96PmkB8"
"Great River Regional Library","18 Lake Blvd NW","Buffalo","MN",55313,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 10:00 AM – 8:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 11:00 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 2:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=9653232321164371917","763-682-2753","http://www.griver.org/","ChIJ4_NtVZOjtFIRzWdSraYr94U"
"Minnesota Legislative Reference Library","100 Rev Dr Martin Luther King Jr Boulevard.","St Paul","MN",55155,"US","<ul><li>Monday: 8:00 AM – 4:30 PM</li><li>Tuesday: 8:00 AM – 4:30 PM</li><li>Wednesday: 8:00 AM – 4:30 PM</li><li>Thursday: 8:00 AM – 4:30 PM</li><li>Friday: 8:00 AM – 4:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=14710753603438760885","651-296-8338","http://www.leg.state.mn.us/lrl/","ChIJMY6ia6sq9ocRtdNDH3YYJ8w"
"Ridgedale Library","12601 Ridgedale Dr","Minnetonka","MN",55305,"US","<ul><li>Monday: 9:00 AM – 9:00 PM</li><li>Tuesday: 9:00 AM – 9:00 PM</li><li>Wednesday: 9:00 AM – 9:00 PM</li><li>Thursday: 9:00 AM – 9:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=11166497392608449651","612-543-8800","http://www.hclib.org/ridgedale","ChIJY_vDo79Ks1IRc5TARzde95o"
"Columbia Heights Public Library","820 40th Ave NE","Columbia Heights","MN",55421,"US","<ul><li>Monday: 9:00 AM – 8:00 PM</li><li>Tuesday: 9:00 AM – 8:00 PM</li><li>Wednesday: 9:00 AM – 8:00 PM</li><li>Thursday: 10:00 AM – 6:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 4:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=11913146618737404783","763-706-3690","http://www.ci.columbia-heights.mn.us/index.aspx?nid=127","ChIJJZqgCBMus1IRbyv9Lrv_U6U"
"United Theological Seminary of the Twin Cities","3000 5th St NW","New Brighton","MN",55112,"US","<ul><li>Monday: 8:00 AM – 9:00 PM</li><li>Tuesday: 8:00 AM – 9:00 PM</li><li>Wednesday: 8:00 AM – 5:00 PM</li><li>Thursday: 8:00 AM – 9:00 PM</li><li>Friday: 8:00 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 2:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=14870797438667982010","651-633-4311","http://www.unitedseminary.edu/","ChIJX8G3lPkus1IRugSYSnuvX84"
"Hennepin County Law Library","300 S 6th St # 245C","Minneapolis","MN",55487,"US","","https://maps.google.com/?cid=52203688311039054","612-348-3022","http://hclaw.co.hennepin.mn.us/","ChIJXSOCXZkys1IRTqS-Wfp2uQA"
"Bayport Public Library","582 4th St N","Bayport","MN",55003,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 6:00 PM</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 10:00 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 3:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=11188031924948160481","651-275-4416","http://www.bayportlibrary.org/","ChIJY1C33Iq1slIR4c9DTsLfQ5s"
"Walter Library","117 Pleasant St SE","Minneapolis","MN",55455,"US","<ul><li>Monday: 8:00 AM – 12:00 AM</li><li>Tuesday: 8:00 AM – 12:00 AM</li><li>Wednesday: 8:00 AM – 12:00 AM</li><li>Thursday: 8:00 AM – 12:00 AM</li><li>Friday: 8:00 AM – 9:00 PM</li><li>Saturday: 10:00 AM – 9:00 PM</li><li>Sunday: 12:00 PM – 12:00 AM</li></ul>","https://maps.google.com/?cid=15357006091153053898","612-624-3366","https://www.lib.umn.edu/walter","ChIJSwWpShQts1IRyhiwzKwLH9U"
"Jordan Public Library","230 Broadway St S","Jordan","MN",55352,"US","","https://maps.google.com/?cid=9835734811494819123","952-492-2500","","ChIJ4_iER-EM9ocRM6UX-LKMf4g"
"The Loft Literary Center","1011 S Washington Ave","Minneapolis","MN",55415,"US","<ul><li>Monday: Closed</li><li>Tuesday: 9:00 AM – 5:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 9:00 AM – 5:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=18264577474948089283","612-215-2575","https://www.loft.org/","ChIJZfg372Yts1IRw8XhjnHQeP0"
"Champlin Library","12154 Ensign Ave N","Champlin","MN",55316,"US","<ul><li>Monday: 9:00 AM – 5:00 PM</li><li>Tuesday: 12:00 – 8:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=13976705215563967929","612-543-6250","http://www.hclib.org/champlin","ChIJrzE-Oc0-s1IRuS0KgFc798E"
"Washburn Library","5244 Lyndale Ave S","Minneapolis","MN",55419,"US","<ul><li>Monday: 9:00 AM – 5:00 PM</li><li>Tuesday: 12:00 – 8:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 12:00 – 8:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=5334434926399714850","612-543-8375","http://www.hclib.org/washburn","ChIJmb95308m9ocRIvZ9cU24B0o"
"University of St Thomas - Charles J. Keffer Library","1000 Lasalle Ave","Minneapolis","MN",55403,"US","<ul><li>Monday: 8:00 AM – 10:00 PM</li><li>Tuesday: 8:00 AM – 10:00 PM</li><li>Wednesday: 8:00 AM – 10:00 PM</li><li>Thursday: 8:00 AM – 10:00 PM</li><li>Friday: 8:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=18165937416527555844","651-962-4642","http://www.stthomas.edu/libraries/","ChIJRYDzLpQys1IRBC0aRNVfGvw"
