"name","address","city","state","zip","country","hours","google_url","phone","website","place_id","source"
"Oak Crest Elementary School","1101 Commerce Dr E","Belle Plaine","MN","56011","US","","https://maps.google.com/?cid=8042079051499011797","952-873-2402","http://www.belleplaine.k12.mn.us/","ChIJ8_PCHlPe9YcR1X414Ek0m28","google place api"
"Chatfield Elementary School","330 S Market St","Belle Plaine","MN","56011","US","","https://maps.google.com/?cid=12978650869834096117","952-873-2401","http://www.belleplaine.k12.mn.us/","ChIJp4xDWrjf9YcR9Z1GyDNuHbQ","google place api"
"Belle Plaine High School","220 S Market St","Belle Plaine","MN","56011","US","","https://maps.google.com/?cid=5148429733856785609","952-873-2400","http://www.belleplaine.k12.mn.us/page/4211","ChIJsexGdcff9YcRybSXvZDlckc","google place api"
"Trinity Lutheran School","500 W Church St","Belle Plaine","MN","56011","US","","https://maps.google.com/?cid=14244670229758249416","952-873-6320","http://www.trinitybelleplaine.org/","ChIJOdy7q8jf9YcRyIlSOxo8r8U","google place api"
"Brilliant Stars Preschool and Childcare","833 Heritage Trail","Belle Plaine","MN","56011","US","<ul><li>Monday: 7:00 AM – 5:30 PM</li><li>Tuesday: 7:00 AM – 5:30 PM</li><li>Wednesday: 7:00 AM – 5:30 PM</li><li>Thursday: 7:00 AM – 5:30 PM</li><li>Friday: 7:00 AM – 5:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=11905075662767079845","763-229-5842","http://www.brilliantstarz.com/","ChIJAfNQrJvf9YcRpUFhTz1TN6U","google place api"
"Our Lady of the Prairie School","215 N Chestnut St","Belle Plaine","MN","56011","US","","https://maps.google.com/?cid=17667514678220167515","952-873-6564","http://www.ourladyoftheprairie.com/","ChIJ4eZwf8Hf9YcRWxlQS_6eL_U","google place api"
"Little Prairie Preschool","200 E Church St","Belle Plaine","MN","56011","US","","https://maps.google.com/?cid=17921259965692403094","952-873-6564","http://littleprairiepreschool.weebly.com/","ChIJQXZGh8Hf9YcRll2G5vwatfg","google place api"
"Rainbow Discovery Center Preschool","617 E Main St","Belle Plaine","MN","56011","US","","https://maps.google.com/?cid=1108946375298906488","952-873-4339","","ChIJLXSFnuvf9YcRePmlVtrEYw8","google place api"
"Memories & Milestones Academy","900 E South St","Belle Plaine","MN","56011","US","<ul><li>Monday: 6:30 AM – 5:30 PM</li><li>Tuesday: 6:30 AM – 5:30 PM</li><li>Wednesday: 6:30 AM – 5:30 PM</li><li>Thursday: 6:30 AM – 5:30 PM</li><li>Friday: 6:30 AM – 5:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=2972762056376249121","952-873-3331","http://www.mmacademymn.net/","ChIJx9VM_ZPf9YcRIesQBFdfQSk","google place api"
"School Number 50","","New Prague","MN","56071","US","","https://maps.google.com/?cid=2345847499915884387","","","ChIJuTq8FZtx9ocRY3e5Ud8fjiA","google place api"
