"Name","Address","URL","Email","Phone"
"Armatage Recreation Center","2500 57th St. W Minneapolis, MN 55410","https://www.minneapolisparks.org/parks__destinations/recreation_centers/armatage_recreation_center/","armatage@minneapolisparks.org","612-370-4912"
"Audubon Recreation Center","1320 29th Ave. NE Minneapolis, MN 55418","https://www.minneapolisparks.org/parks__destinations/recreation_centers/audubon_recreation_center/","audubon@minneapolisparks.org","612-370-4910"
"Bohanon Park","4917 Bryant Ave. N Minneapolis, MN 55430","https://www.minneapolisparks.org/parks__destinations/parks__lakes/bohanon_park/","info@minneapolisparks.org","612-230-6400"
"Bottineau Recreation Center","2000 Second St. NE Minneapolis, MN 55418","https://www.minneapolisparks.org/parks__destinations/recreation_centers/bottineau_recreation_center/","bottineau@minneapolisparks.org","612-370-4958"
"Brackett Recreation Center","2728 S 39th Ave. Minneapolis, MN 55406","https://www.minneapolisparks.org/parks__destinations/recreation_centers/brackett_recreation_center/","brackett@minneapolisparks.org","612-370-4924"
"Bryant Square Recreation Center","3101 Bryant Ave. S Minneapolis, MN 55408","https://www.minneapolisparks.org/parks__destinations/recreation_centers/bryant_square_recreation_center/","bryantsq@minneapolisparks.org","612-370-4907"
"Central Gym","3400 Fourth Ave. S Minneapolis, MN 55408","https://www.minneapolisparks.org/parks__destinations/recreation_centers/central_gym/","centralgym@minneapolisparks.org","612-370-4918"
"Corcoran Recreation Center","3334 20th Ave. S Minneapolis, MN 55407","https://www.minneapolisparks.org/parks__destinations/recreation_centers/corcoran_recreation_center/","corcoran@minneapolisparks.org","612-370-4919"
"Coyle Community Center","420 15th Ave. S Minneapolis, MN 55454","https://www.minneapolisparks.org/parks__destinations/recreation_centers/coyle_community_center/","Phone: 612-370-4967Fax: 612-871-3152","612-370-4967"
"Creekview Recreation Center","5001 Humboldt Ave. N Minneapolis, MN 55430","https://www.minneapolisparks.org/parks__destinations/recreation_centers/creekview_recreation_center/","creekview@minneapolisparks.org","612-370-4965"
"East Phillips Park Cultural and Community Center","2399 S 17th Ave. Minneapolis, MN 55404","https://www.minneapolisparks.org/parks__destinations/recreation_centers/east_phillips_park_cultural_and_community_center/","info@minneapolisparks.org","612-370-4888"
"Elliot Recreation Center","1000 E 14th St. Minneapolis, MN 55404","https://www.minneapolisparks.org/parks__destinations/recreation_centers/elliot_recreation_center/","elliot@minneapolisparks.org","612-370-4772"
"Farview Recreation Center","621 N 29th Ave. Minneapolis, MN 55411","https://www.minneapolisparks.org/parks__destinations/recreation_centers/farview_recreation_center/","farview@minneapolisparks.org","612-370-4922"
"Folwell Recreation Center","1615 N Dowling Ave. Minneapolis, MN 55412","https://www.minneapolisparks.org/parks__destinations/recreation_centers/folwell_recreation_center/","folwell@minneapolisparks.org","612-370-4917"
"Fuller Recreation Center","4800 Grand Ave. S Minneapolis, MN 55409","https://www.minneapolisparks.org/parks__destinations/recreation_centers/fuller_recreation_center/","fuller@minneapolisparks.org","612-370-4963"
"Harrison Recreation Center","503 N Irving Ave. Minneapolis, MN 55405","https://www.minneapolisparks.org/parks__destinations/recreation_centers/harrison_recreation_center/","harrison@minneapolisparks.org","612-370-4951"
"Hiawatha School Recreation Center","4305 E 42nd St. Minneapolis, MN 55406","https://www.minneapolisparks.org/parks__destinations/recreation_centers/hiawatha_school_recreation_center/","hiawatha@minneapolisparks.org","612-370-4952"
"Keewaydin Recreation Center","3030 E 53rd St. Minneapolis, MN 55417","https://www.minneapolisparks.org/parks__destinations/recreation_centers/keewaydin_recreation_center/","keewaydin@minneapolisparks.org","612-370-4956"
"Kenny Neighborhood Center","1328 W 58th St. Minneapolis, MN 55419","https://www.minneapolisparks.org/parks__destinations/recreation_centers/kenny_neighborhood_center/","kenny@minneapolisparks.org","612-370-4901"
"Kenwood Community Center","2101 W Franklin Ave. Minneapolis, MN 55405","https://www.minneapolisparks.org/parks__destinations/recreation_centers/kenwood_community_center/","kenwood@minneapolisparks.org","612-370-4941"
