School,Address,Phone
Andersen United,1098 Andersen Lane 55407,668-4200; Fax 668-4260
Anishinabe Academy,3100 East 28th Street 55406,668-0880; Fax 668-0890
Anthony Middle,5757 Irving Avenue South 55419,668-3240; Fax 668-3250
Anwatin Middle Community and Spanish Dual Immersion,256 Upton Avenue South 55405,668-2450; Fax 668-2460
Barton Open,4237 Colfax Avenue South 55409,668-3580; Fax 668-3590
Armatage Montessori,2501 West 56th Street 55410,668-3180; Fax 668-3190
Bancroft,1315 East 38th Street 55407,668-3550; Fax 668-3560
Bethune Community,919 Emerson Avenue North 55411,668-2550; Fax 668-2560
Bryn Mawr Community,252 Upton Avenue South 55405,668-2500; Fax 668-2510
Burroughs Community,1601 West 50th Street 55419,668-3280; Fax 668-3290
Broadway Alternative at Longfellow and TAPPP,3017 East 31st St. 55406,668-4700; Fax 668-4710
Cityview,3350 4th Street North 55412,668-2270; Fax 668- 2280
Dowling Urban Environmental,3900 West River Parkway 55406,668-4410; Fax 668-4420
Early Childhood Education Mona Moede Early Childhood Center,2410 Girard Avenue North 55411,668-2127; Fax 668-2135
Early Childhood Special Education,3328 Elliot Ave South 55407,668-5100; Fax 668-5110
Edison High,700 - 22nd Avenue NE 55418,668-1300; Fax 668-1320
Emerson Spanish Dual Immersion,1421 Spruce Place 55403,668-3610; Fax 668-3620
Franklin Middle,1501 Aldrich Ave North 55411,668-2600; Fax 668-2649
FAIR School Downtown,10 South 10th Street 55403,668-1060; Fax TBD
Field Community,4645 Fourth Avenue South 55419,668-3640; Fax 668-3661
Green Central Park Community,3416 Fourth Avenue South 55408,668-3730; Fax 668-3740
Hale Community,1220 East 54th Street 55417,668-3760; Fax 668-3770
"Folwell School, Performing Arts Magnet",3611 20th Ave. S. 55407,668-4550; Fax 668-4560
Hall International,1601 Aldrich Avenue North 55411,668-2650; Fax 668-2660
Harrison Education Center,501 Irving Avenue North 55405,668-2680; Fax 668-2707
Henry High,4320 Newton Avenue North 55412,668-2000; Fax 668-1993
Hiawatha Community Hiawatha Campus,4201  42nd Avenue South 55406,668-4610; Fax 668-4620
Hiawatha Community Howe Campus,3733 43rd Avenue South 55406,668-4640; Fax 668-4650
Hmong International Academy,1501  30th Avenue N. 55411,668-2250; Fax 668-2260
Jefferson Community,1200 West 26th Street 55405,668-2720; Fax 668-2730
Jenny Lind Elementary,5025 Bryant Avenue North 55430,668-2020; Fax 668-2030
Kenny Community,5720 Emerson Avenue South 55419,668-3340; Fax 668-3350
Kenwood Community,2013 Penn Avenue South 55405,668-2760; Fax 668-2770
Lake Harriet Community Lower,4030 Chowen Avenue South 55410,668-3210; Fax 668-3220
Lake Harriet Community Upper,4912 Vincent Avenue South 55410,668-3310; Fax 668-3320
Lake Nokomis Community Keewaydin Campus,5209  30th Avenue South 55417,668-4670; Fax 668-4680
Lake Nokomis Community Wenonah Campus,5625 - 23rd Avenue South 55417,668-5040; Fax 668-5050
Loring Community,2600 - 44th Avenue North 55412,668-2060; Fax 668-2070
Lucy Craft Laney at Cleveland Park,3333 Penn Avenue North 55412,668-2200; Fax 668-2210
Lyndale Elementary,312 West 34th Street 55408,668-4000; Fax 668-4010
Marcy Open,415 Fourth Avenue SE 55414,668-1020; Fax 668-1030
MPS Metro SJ-St. Joes Campus,1121 East 46th Street 55407,668-4782; Cell 612-290-3512
MPS Metro SJ-Wilder Campus,932 East 34th Street 55407 Door #8,668-4780; Cell 612-290-3512
Nellie Stone Johnson Community,807 - 27th Avenue North 55411,668-2930; Fax 668-2940
North Academy of Arts & Communication,1500 James Avenue North 55411,668-1700; Fax 668-1770
Northeast Middle,2955 Hayes Street NE 55418,668-1500; Fax 668-1510
Northrop Community,4315  31st Avenue South 55406,668-4520; Fax 668-4530
Floyd B. Olson Middle,1607  51st Avenue North 55430,668-1640; Fax 668-1650
Pillsbury Community,2250 Garfield Street NE 55418,668-1530; Fax 668-1540
Pratt Community,"66 Malcolm Avenue SE, 55414",668-1122; Fax 668-1110
Ramsey Middle,1 West 49th Street 55419,668-4040; Fax 668-4050
River Bend Educational Center,1510 Glenwood Avenue 55405,668-2884; Fax 668-2880
Roosevelt High,4029  28th Avenue South 55406,668-4800; Fax 668-4810
Sheridan Arts Spanish Dual Immersion,1201 University Avenue NE 55413,668-1130; Fax 668-1140
Sanford Middle,3524 42nd Avenue South 55406,668-4900; Fax 668-4910
Seward Montessori,2309  28th Avenue South 55406,668-4950; Fax 668-4960
South High,3131 - 19th Avenue South 55407,668-4300; Fax 668-4310
Sullivan Community,3100 East 28th Street 55406,668-5000; Fax 668-5010
Southwest High,3414 West 47th Street 55410,668-3030; Fax 668-3080
Stadium View,510 Park Avenue South 55415,348-7740; Fax 596-9989
Transition Plus,3320 Elliot Avenue South 55407,668-4100; Fax 668-4090
Waite Park Community,1800 - 34th Avenue NE 55418,668-1600; Fax 668-1610
Webster,425 5th St. NE 55413,668-1210; Fax 668-1220
Wellstone International High School,3328 Elliot Avenue South,"668-5115, Fax 668-5140"
Windom Spanish Dual Immersion,5821 Wentworth Avenue South 55419,668-3370; Fax 668-3380
Washburn High,201 West 49th Street 55419,668-3400; Fax 668-3410
