"BuildingName","Street","City","State","Country","Phone","URL","Zip"
"George Latimer Central Library","90 W 4th St","Saint Paul","MN","US","651-266-7000","http://www.sppl.org/about/locations/central-library","55102"
"Sun Ray","2105 Wilson Avenue","Saint Paul","MN","US","651-501-6300","http://www.sppl.org/about/locations/sun-ray","55119"
"Highland Park","1974 Ford Pkwy","Saint Paul","MN","US","651-695-3700","http://www.sppl.org/about/locations/highland-park","55116"
"Hamline Midway","1558 W Minnehaha Avenue","Saint Paul","MN","US","651-642-0293","http://www.sppl.org/about/locations/hamline-midway","55104"
"Arlington Hills","1105 Greenbrier Street","Saint Paul","MN","US","651-793-3930","http://www.sppl.org/about/locations/arlington-hills","55106"
"Saint Anthony Park","2245 Como Avenue","Saint Paul","MN","US","651-642-0411","http://www.sppl.org/about/locations/saint-anthony-park","55108"
"Rice Street","1011 Rice Street","Saint Paul","MN","US","651-558-2223","http://www.sppl.org/about/locations/rice-street","55117"
"Hayden Heights","1456 White Bear Avenue","Saint Paul","MN","US","651-793-3934","http://www.sppl.org/about/locations/hayden-heights","55106"
"West 7th","265 Oneida Street","Saint Paul","MN","US","651-298-5516","http://www.sppl.org/about/locations/west-7th","55102"
"Rondo","461 N Dale Street","Saint Paul","MN","US","651-266-7400","http://www.sppl.org/about/locations/rondo","55103"
"Riverview","1 E George Street","Saint Paul","MN","US","651-292-6626","http://www.sppl.org/about/locations/riverview","55107"
"Merriam Park","1831 Marshall Avenue","Saint Paul","MN","US","651-642-0385","http://www.sppl.org/about/locations/merriam-park","55104"
"Dayton's Bluff","645 E 7th Street","Saint Paul","MN","US","651-793-1699","http://www.sppl.org/about/locations/daytons-bluff","55106"
